LAT,LON
42.306,4.877
42.30855456482997,4.907221296633577
42.31110050882912,4.937445256278602
42.31363783076248,4.96767187027327
42.3161665293992,4.997901129951085
42.3186866035124,5.028133026640877
42.32119805187932,5.0583675516668185
42.323700873281226,5.088604696348433
42.326195066503445,5.1188444520006176
42.32868063033536,5.149086809933647
42.33115756357041,5.179331761453193
42.33362586500609,5.20957929786034
42.336085533443985,5.239829410451595
42.33853656768972,5.270082090518907
42.340978966552996,5.300337329349679
42.34341272884761,5.330595118226777
42.34583785339138,5.360855448428553
42.34825433900622,5.391118311228856
42.350662184518136,5.421383697897041
42.35306138875719,5.451651599697996
42.35545195055751,5.48192200789214
42.35783386875733,5.51219491373545
42.360207142199,5.542470308479473
42.36257176972886,5.572748183371331
42.36492775019744,5.603028529653752
42.367275082459265,5.633311338565073
42.36961376537299,5.663596601339253
42.371943797801414,5.6938843092058935
42.37426517861133,5.724174453390254
42.37657790667371,5.75446702511326
42.37888198086356,5.7847620155915225
42.381177400060025,5.815059416037352
42.38346416314634,5.845359217658769
42.38574226900983,5.875661411659528
42.38801171654198,5.905965989239119
42.39027250463825,5.936272941592795
42.39252463219839,5.966582259911575
42.39476809812607,5.996893935382271
42.39700290132924,6.027207959187494
42.39922904071984,6.057524322505665
42.40144651521398,6.087843016511044
42.403655323731904,6.118164032373735
42.40585546519788,6.148487361259698
42.40804693854041,6.1788129943307695
42.41022974269208,6.2091409227446785
42.412403876589565,6.239471137655058
42.414569339173674,6.269803630211459
42.41672612938938,6.300138391559365
42.41887424618575,6.330475412840217
42.42101368851601,6.36081468519141
42.42314445533744,6.391156199746325
42.4252665456116,6.4214999476343335
42.427379958304,6.45184591998082
42.42948469238444,6.482194107907187
42.4315807468268,6.512544502530884
42.433668120609084,6.542897094965404
42.435746812713425,6.57325187632032
42.43781682212618,6.603608837701284
42.43987814783776,6.633967970210045
42.44193078884278,6.664329264944469
42.44397474413994,6.6946927129985525
42.446010012732174,6.7250583054624355
42.44803659362649,6.755426033422416
42.45005448583412,6.785795887960967
42.452063688370394,6.816167860156755
42.45406420025479,6.846541941084646
42.456056020511,6.87691812181573
42.45803914816681,6.907296393417334
42.46001358225423,6.9376767469530325
42.46197932180941,6.968059173482666
42.463936365872584,6.998443664062358
42.46588471348832,7.028830209744527
42.46782436370518,7.059218801577905
42.46975531557596,7.089609430607552
42.471677568157716,7.120002087874866
42.47359112051148,7.150396764417609
42.475495971702635,7.180793451269911
42.47739212080067,7.211192139462294
42.47927956687924,7.2415928200216815
42.48115830901616,7.271995483971417
42.483028346293494,7.302400122331282
42.4848896777974,7.3328067261175045
42.486742302618275,7.363215286342779
42.48858621985069,7.393625794016285
42.49042142859339,7.42403824014369
42.4922479279493,7.454452615727184
42.49406571702556,7.484868911765478
42.495874794933435,7.515287119253829
42.49767516078846,7.5457072291840515
42.49946681371031,7.576129232544536
42.50124975282289,7.606553120320261
42.50302397725425,7.636978883492815
42.504789486136644,7.667406513040399
42.5065462786066,7.697835999937862
42.50829435380475,7.728267335156695
42.51003371087596,7.758700509665067
42.511764348969294,7.789135514427823
42.51348626723804,7.819572340406511
42.51519946483965,7.850010978559395
42.516903940935826,7.880451419841464
42.51859969469241,7.910893655204463
42.52028672527953,7.941337675596892
42.52196503187151,7.971783471964035
42.52363461364683,8.002231035247966
42.525295469788226,8.03268035638757
42.52694759948259,8.063131426318556
