LAT,LON,LEVEL,DATE,TIME,VALUE
42.306036,4.877266,0,20230507,12,289.7235
42.308593,4.907352,0,20230507,12,289.7278
42.311142,4.93744,0,20230507,12,289.7235
42.313682,4.967531,0,20230507,12,289.7201
42.316214,4.997624,0,20230507,12,289.7227
42.318737,5.027721,0,20230507,12,289.7617
42.321251,5.05782,0,20230507,12,289.7847
42.323757,5.087921,0,20230507,12,289.7923
42.326255,5.118025,0,20230507,12,289.8339
42.328743,5.148132,0,20230507,12,289.8695
42.331223,5.178241,0,20230507,12,289.8823
42.333695,5.208353,0,20230507,12,289.9196
42.336158,5.238467,0,20230507,12,289.957
42.338612,5.268585,0,20230507,12,289.9748
42.341058,5.298704,0,20230507,12,290.013
42.343495,5.328826,0,20230507,12,290.0385
42.345923,5.358951,0,20230507,12,290.0393
42.348343,5.389078,0,20230507,12,290.058
42.350754,5.419208,0,20230507,12,290.0597
42.353157,5.44934,0,20230507,12,290.0232
42.355551,5.479475,0,20230507,12,290.0172
42.357936,5.509613,0,20230507,12,290.0249
42.360313,5.539752,0,20230507,12,289.9994
42.362681,5.569895,0,20230507,12,289.9867
42.36504,5.600039,0,20230507,12,289.9833
42.367391,5.630187,0,20230507,12,289.957
42.369734,5.660336,0,20230507,12,289.9561
42.372067,5.690489,0,20230507,12,289.9748
42.374392,5.720643,0,20230507,12,289.9629
42.376709,5.7508,0,20230507,12,289.9672
42.379017,5.78096,0,20230507,12,290.0028
42.381316,5.811122,0,20230507,12,290.0164
42.383606,5.841286,0,20230507,12,290.0385
42.385888,5.871453,0,20230507,12,290.0894
42.388162,5.901622,0,20230507,12,290.1216
42.390426,5.931793,0,20230507,12,290.1505
42.392682,5.961967,0,20230507,12,290.2006
42.39493,5.992143,0,20230507,12,290.2328
42.397168,6.022322,0,20230507,12,290.2634
42.399398,6.052503,0,20230507,12,290.3118
42.40162,6.082686,0,20230507,12,290.3398
42.403833,6.112871,0,20230507,12,290.3551
42.406037,6.143059,0,20230507,12,290.3899
42.408233,6.173249,0,20230507,12,290.4204
42.41042,6.203442,0,20230507,12,290.4442
42.412598,6.233637,0,20230507,12,290.4849
42.414768,6.263834,0,20230507,12,290.5096
42.416929,6.294033,0,20230507,12,290.5096
42.419081,6.324235,0,20230507,12,290.5359
42.421225,6.354439,0,20230507,12,290.5749
42.42336,6.384645,0,20230507,12,290.5928
42.425486,6.414853,0,20230507,12,290.6131
42.427604,6.445064,0,20230507,12,290.642
42.429713,6.475277,0,20230507,12,290.653
42.431814,6.505492,0,20230507,12,290.6547
42.433905,6.535709,0,20230507,12,290.6624
42.435989,6.565928,0,20230507,12,290.6666
42.438063,6.59615,0,20230507,12,290.6641
42.440129,6.626374,0,20230507,12,290.659
42.442186,6.6566,0,20230507,12,290.6488
42.444235,6.686828,0,20230507,12,290.6233
42.446275,6.717058,0,20230507,12,290.586
42.448306,6.747291,0,20230507,12,290.5452
42.450329,6.777525,0,20230507,12,290.5036
42.452343,6.807762,0,20230507,12,290.4612
42.454348,6.838001,0,20230507,12,290.4136
42.456344,6.868242,0,20230507,12,290.35
42.458332,6.898485,0,20230507,12,290.2719
42.460312,6.92873,0,20230507,12,290.1938
42.462282,6.958977,0,20230507,12,290.114
42.464244,6.989226,0,20230507,12,290.0317
42.466198,7.019477,0,20230507,12,289.9663
42.468142,7.049731,0,20230507,12,289.9298
42.470078,7.079986,0,20230507,12,289.9324
42.472005,7.110244,0,20230507,12,289.9408
42.473924,7.140503,0,20230507,12,289.951
42.475834,7.170765,0,20230507,12,289.9689
42.477735,7.201028,0,20230507,12,289.9935
42.479628,7.231294,0,20230507,12,290.013
42.481512,7.261561,0,20230507,12,290.0402
42.483387,7.291831,0,20230507,12,290.0911
42.485253,7.322102,0,20230507,12,290.1361
42.487111,7.352375,0,20230507,12,290.1564
42.488961,7.382651,0,20230507,12,290.1794
42.490801,7.412928,0,20230507,12,290.2116
42.492633,7.443207,0,20230507,12,290.2184
42.494456,7.473489,0,20230507,12,290.221
42.496271,7.503772,0,20230507,12,290.2371
42.498076,7.534057,0,20230507,12,290.2405
42.499873,7.564344,0,20230507,12,290.2235
42.501662,7.594632,0,20230507,12,290.2082
42.503442,7.624923,0,20230507,12,290.2031
42.505213,7.655216,0,20230507,12,290.2048
42.506975,7.68551,0,20230507,12,290.2065
42.508729,7.715806,0,20230507,12,290.2031
42.510474,7.746104,0,20230507,12,290.198
42.51221,7.776404,0,20230507,12,290.204
42.513938,7.806706,0,20230507,12,290.2176
42.515657,7.83701,0,20230507,12,290.221
42.517367,7.867315,0,20230507,12,290.2099
42.519068,7.897623,0,20230507,12,290.2023
42.520761,7.927932,0,20230507,12,290.2193
42.522445,7.958242,0,20230507,12,290.2405
42.524121,7.988555,0,20230507,12,290.2371
42.525788,8.018869,0,20230507,12,290.2328
42.527446,8.049185,0,20230507,12,290.2524
42.529095,8.079503,0,20230507,12,290.2753
42.530736,8.109823,0,20230507,12,290.288
42.532368,8.140144,0,20230507,12,290.3058
42.533991,8.170467,0,20230507,12,290.3177
42.535605,8.200792,0,20230507,12,290.3041
42.537211,8.231118,0,20230507,12,290.3007
42.538808,8.261447,0,20230507,12,290.3169
42.540397,8.291776,0,20230507,12,290.3058
42.541977,8.322108,0,20230507,12,290.2651
42.543548,8.352441,0,20230507,12,290.2413
42.54511,8.382776,0,20230507,12,290.2082
42.546664,8.413112,0,20230507,12,290.1446
42.548209,8.443451,0,20230507,12,290.0809
42.549745,8.47379,0,20230507,12,290.0283
42.551272,8.504132,0,20230507,12,289.9544
42.552791,8.534475,0,20230507,12,289.8823
42.554301,8.564819,0,20230507,12,289.8483
42.555803,8.595165,0,20230507,12,289.7957
42.557295,8.625513,0,20230507,12,289.7329
42.558779,8.655863,0,20230507,12,289.7422
42.560254,8.686213,0,20230507,12,289.7312
42.561721,8.716566,0,20230507,12,299.5285
42.563179,8.74692,0,20230507,12,307.0221
42.564628,8.777276,0,20230507,12,298.9454
42.566068,8.807633,0,20230507,12,307.3252
42.5675,8.837991,0,20230507,12,305.3474
42.568923,8.868351,0,20230507,12,306.1784
42.570337,8.898713,0,20230507,12,303.9934
42.571742,8.929076,0,20230507,12,314.0302
42.573139,8.959441,0,20230507,12,308.1324
42.574527,8.989807,0,20230507,12,305.8626
42.575907,9.020174,0,20230507,12,310.2418
42.577277,9.050543,0,20230507,12,311.2171
42.578639,9.080914,0,20230507,12,311.9259
42.579992,9.111286,0,20230507,12,309.4566
42.581337,9.141659,0,20230507,12,308.146
42.582672,9.172034,0,20230507,12,308.8726
42.583999,9.20241,0,20230507,12,311.3071
42.585318,9.232787,0,20230507,12,310.7409
42.586627,9.263166,0,20230507,12,307.264
42.587928,9.293547,0,20230507,12,304.7235
42.58922,9.323928,0,20230507,12,306.6911
42.590503,9.354311,0,20230507,12,310.4099
42.591778,9.384696,0,20230507,12,310.0924
42.593044,9.415082,0,20230507,12,312.0583
42.594301,9.445469,0,20230507,12,312.1958
42.59555,9.475857,0,20230507,12,301.4698
42.596789,9.506247,0,20230507,12,295.6867
42.59802,9.536638,0,20230507,12,291.018
42.599242,9.56703,0,20230507,12,290.8389
42.600456,9.597424,0,20230507,12,290.6963
42.601661,9.627819,0,20230507,12,290.625
42.602857,9.658215,0,20230507,12,290.5164
42.604044,9.688613,0,20230507,12,290.4196
42.605223,9.719011,0,20230507,12,290.3712
42.606392,9.749411,0,20230507,12,290.3262
42.607554,9.779813,0,20230507,12,290.3194
42.608706,9.810215,0,20230507,12,290.3194
42.609849,9.840619,0,20230507,12,290.2626
42.610984,9.871024,0,20230507,12,290.2413
42.61211,9.90143,0,20230507,12,290.2668
42.613228,9.931837,0,20230507,12,290.2193
42.614337,9.962245,0,20230507,12,290.1692
42.615436,9.992655,0,20230507,12,290.2099
42.616528,10.023066,0,20230507,12,290.2227
42.61761,10.053478,0,20230507,12,290.1938
42.618684,10.083891,0,20230507,12,291.2642
42.619749,10.114305,0,20230507,12,290.2558
42.620805,10.14472,0,20230507,12,290.2897
42.621852,10.175137,0,20230507,12,290.3653
42.622891,10.205554,0,20230507,12,290.4281
42.623921,10.235973,0,20230507,12,290.4671
42.624942,10.266393,0,20230507,12,290.5546
42.625955,10.296814,0,20230507,12,290.6437
42.626958,10.327235,0,20230507,12,290.6768
42.627953,10.357658,0,20230507,12,290.7039
42.62894,10.388082,0,20230507,12,290.7498
42.629917,10.418507,0,20230507,12,290.7914
42.630886,10.448934,0,20230507,12,290.816
42.631846,10.479361,0,20230507,12,290.8279
42.632797,10.509789,0,20230507,12,290.8236
42.633739,10.540218,0,20230507,12,290.7982
42.634673,10.570648,0,20230507,12,290.7362
42.635598,10.601079,0,20230507,12,290.6972
